feature_name,importance_score,rank
Feature_0,0.04192156180651745,1
Feature_1,0.35459482847817214,2
Feature_2,0.7268736986550948,3
Feature_3,2.3312664817021007,4
Feature_4,1.0293668653672032,5
Feature_5,0.16466429325292345,6
Feature_6,0.8603983643113434,7
Feature_7,0.34807669103394434,8
Feature_8,0.17281155585824007,9
Feature_9,0.2375115546816439,10
Feature_10,0.8507857477756277,11
Feature_11,1.146186524440656,12
Feature_12,2.2201430781397833,13
Feature_13,0.048982506447654325,14
Feature_14,0.2925122128729606,15
Feature_15,1.3094706155080222,16
Feature_16,0.7747408615879068,17
Feature_17,0.23187454139679173,18
Feature_18,1.9245294901151642,19
Feature_19,0.678589952353006,20
Feature_20,0.26592329599539294,21
Feature_21,0.5675840366444972,22
Feature_22,1.0910420385331365,23
Feature_23,0.01490214842767889,24
Feature_24,1.0854518102861495,25
Feature_25,0.1756222656413403,26
Feature_26,0.7837146739192867,27
Feature_27,0.4678292958017796,28
Feature_28,0.14918969317730632,29
Feature_29,0.40122706410363856,30
Feature_30,1.0581327879202604,31
Feature_31,1.6648492315642731,32
Feature_32,0.033946116240143445,33
Feature_33,1.4539174464480946,34
Feature_34,3.3310790331013322,35
Feature_35,0.6389283828726218,36
Feature_36,1.2713803254898268,37
Feature_37,1.2665143338330997,38
Feature_38,0.03710995382504128,39
Feature_39,2.0734979015032766,40
Feature_40,6.647808532457787,41
Feature_41,0.26684762560265457,42
Feature_42,0.06003241930540777,43
Feature_43,0.7859802660263877,44
Feature_44,0.035398139422219,45
Feature_45,1.6363292520864392,46
Feature_46,0.025269298644176447,47
Feature_47,1.7309212247401087,48
Feature_48,0.3351072586438677,49
Feature_49,1.627731694754181,50
